RunId,iteration,Step,estrategia,avances,rescatistas,rng,Rescatados,Perdidas,Danio,Fuegos,Paredes,Puertas,Rescatando,Pasos,Avances,Estado,gano,motivo
811,270,7.0,mejorada,1,3,510932467855766150,0,2,24,19,16,7,0,7,1,perdido,0,colapso
457,152,7.0,mejorada,1,3,1293569525664144302,3,4,8,10,6,8,2,7,1,perdido,0,victimas
504,168,7.0,mejorada,1,2,2925089995860117194,3,4,10,12,10,6,1,7,1,perdido,0,victimas
809,269,7.0,mejorada,1,4,195056022512469942,1,2,24,10,19,7,3,7,1,perdido,0,colapso
158,52,7.0,mejorada,1,4,7258096298572574743,4,4,21,22,14,7,2,7,1,perdido,0,victimas
803,267,7.0,mejorada,1,4,1416833493700755846,1,2,24,21,16,6,0,7,1,perdido,0,colapso
79,26,7.0,mejorada,1,3,4304741454788720907,0,1,26,10,17,6,0,7,1,perdido,0,colapso
80,26,7.0,mejorada,1,4,4304741454788720907,0,1,26,10,17,6,0,7,1,perdido,0,colapso
77,25,7.0,mejorada,1,4,1795225215291384455,0,4,16,15,10,6,0,7,1,perdido,0,victimas
642,214,7.0,mejorada,1,2,6598466114264925483,1,4,10,7,9,7,2,7,1,perdido,0,victimas
793,264,7.0,mejorada,1,3,8494453302709679971,0,2,26,7,21,8,1,7,1,perdido,0,colapso
790,263,7.0,mejorada,1,3,1326984363454281926,2,4,19,12,13,7,0,7,1,perdido,0,victimas
428,142,7.0,mejorada,1,4,8649922300238901775,1,1,26,12,21,7,1,7,1,perdido,0,colapso
426,142,7.0,mejorada,1,2,8649922300238901775,1,1,24,11,16,5,0,7,1,perdido,0,colapso
427,142,7.0,mejorada,1,3,8649922300238901775,1,1,24,11,16,5,1,7,1,perdido,0,colapso
860,286,7.0,mejorada,1,4,454289072440062170,1,1,24,14,20,7,1,7,1,perdido,0,colapso
425,141,7.0,mejorada,1,4,4525973170018542717,1,4,14,12,9,7,1,7,1,perdido,0,victimas
202,67,7.0,mejorada,1,3,2803444835069964884,0,0,25,12,16,6,1,7,1,perdido,0,colapso
781,260,7.0,mejorada,1,3,1348210213023278175,1,1,25,14,15,7,2,7,1,perdido,0,colapso
863,287,7.0,mejorada,1,4,3445982197241601284,2,4,14,10,9,8,3,7,1,perdido,0,victimas
520,173,7.0,mejorada,1,3,8633478089267323312,3,4,12,12,11,6,1,7,1,perdido,0,victimas
209,69,7.0,mejorada,1,4,4028006955853994645,0,4,17,13,14,6,3,7,1,perdido,0,victimas
773,257,7.0,mejorada,1,4,971018897820300926,1,2,24,13,15,6,0,7,1,perdido,0,colapso
224,74,7.0,mejorada,1,4,537747877366898908,0,2,25,18,18,7,2,7,1,perdido,0,colapso
666,222,7.0,mejorada,1,2,6113843244235381328,0,4,13,9,13,6,1,7,1,perdido,0,victimas
763,254,7.0,mejorada,1,3,2182825021047865272,7,1,18,12,13,6,3,7,1,ganado,1,victoria
761,253,7.0,mejorada,1,4,2285916494551865702,1,4,17,16,13,7,0,7,1,perdido,0,victimas
53,17,7.0,mejorada,1,4,588610295420051415,2,1,24,13,17,7,0,7,1,perdido,0,colapso
50,16,7.0,mejorada,1,4,5115141816626912272,8,0,11,11,11,5,2,7,1,ganado,1,victoria
394,131,7.0,mejorada,1,3,8532727030568331756,1,4,15,17,10,7,3,7,1,perdido,0,victimas
244,81,7.0,mejorada,1,3,3748257213951522985,0,2,24,13,15,6,3,7,1,perdido,0,colapso
245,81,7.0,mejorada,1,4,3748257213951522985,1,2,25,10,18,4,1,7,1,perdido,0,colapso
253,84,7.0,mejorada,1,3,209481900241850334,1,0,25,17,18,5,0,7,1,perdido,0,colapso
254,84,7.0,mejorada,1,4,209481900241850334,1,0,25,17,18,5,0,7,1,perdido,0,colapso
40,13,7.0,mejorada,1,3,7588636456839696474,3,4,9,11,7,6,3,7,1,perdido,0,victimas
378,126,7.0,mejorada,1,2,3042432681873228590,2,4,15,10,10,6,1,7,1,perdido,0,victimas
579,193,7.0,mejorada,1,2,7665661379552511350,2,4,7,7,6,6,2,7,1,perdido,0,victimas
272,90,7.0,mejorada,1,4,1404831189039190376,1,4,19,8,12,6,2,7,1,perdido,0,victimas
545,181,7.0,mejorada,1,4,8240590753011135886,3,4,9,15,5,8,0,7,1,perdido,0,victimas
32,10,7.0,mejorada,1,4,3420008128027789332,1,3,25,12,17,8,1,7,1,perdido,0,colapso
279,93,7.0,mejorada,1,2,3514300522226417888,0,4,18,5,12,8,0,7,1,perdido,0,victimas
280,93,7.0,mejorada,1,3,3514300522226417888,0,1,24,9,18,7,0,7,1,perdido,0,colapso
284,94,7.0,mejorada,1,4,2780958171820188827,2,1,24,21,16,7,0,7,1,perdido,0,colapso
883,294,7.0,mejorada,1,3,7780605619557833769,3,4,6,14,5,7,0,7,1,perdido,0,victimas
290,96,7.0,mejorada,1,4,3337132314759568599,4,4,10,7,7,6,4,7,1,perdido,0,victimas
23,7,7.0,mejorada,1,4,7250163532461132703,1,2,24,14,15,6,0,7,1,perdido,0,colapso
553,184,7.0,mejorada,1,3,7120557878436733737,3,2,25,11,14,7,1,7,1,perdido,0,colapso
701,233,7.0,mejorada,1,4,5497522218277438576,0,0,24,11,17,7,1,7,1,perdido,0,colapso
572,190,7.0,mejorada,1,4,8640576216391083761,2,3,26,23,19,7,2,7,1,perdido,0,colapso
17,5,7.0,mejorada,1,4,8998527916616952261,0,3,24,16,20,7,1,7,1,perdido,0,colapso
700,233,7.0,mejorada,1,3,5497522218277438576,2,3,24,18,16,7,1,7,1,perdido,0,colapso
347,115,7.0,mejorada,1,4,7900872234267989194,2,2,26,10,16,7,1,7,1,perdido,0,colapso
344,114,7.0,mejorada,1,4,1630441143038709432,0,1,24,17,15,5,0,7,1,perdido,0,colapso
343,114,7.0,mejorada,1,3,1630441143038709432,0,1,24,17,15,5,0,7,1,perdido,0,colapso
718,239,7.0,mejorada,1,3,1006675687759647796,1,4,14,11,9,7,0,7,1,perdido,0,victimas
317,105,7.0,mejorada,1,4,6612144924184611097,1,0,24,11,13,7,0,7,1,perdido,0,colapso
