RunId,iteration,Step,estrategia,avances,rescatistas,rng,Rescatados,Perdidas,Danio,Fuegos,Paredes,Puertas,Rescatando,Pasos,Avances,Estado
11,5,6.0,mejorada,1,2,8998527916616952261,0,1,14,9,10,7,2,6,1,en_curso
11,5,7.0,mejorada,1,2,8998527916616952261,0,1,14,7,10,7,2,7,1,en_curso
11,5,8.0,mejorada,1,2,8998527916616952261,0,3,19,9,14,7,2,8,1,en_curso
11,5,9.0,mejorada,1,2,8998527916616952261,3,3,26,14,17,7,2,9,1,perdido
12,6,1.0,aleatoria,1,2,7020274643477799479,0,0,0,10,0,0,2,1,1,en_curso
12,6,2.0,aleatoria,1,2,7020274643477799479,0,1,9,17,8,1,2,2,1,en_curso
12,6,3.0,aleatoria,1,2,7020274643477799479,0,1,15,19,13,2,2,3,1,en_curso
12,6,4.0,aleatoria,1,2,7020274643477799479,0,1,21,27,14,2,2,4,1,en_curso
12,6,5.0,aleatoria,1,2,7020274643477799479,0,3,25,34,16,3,2,5,1,perdido
13,6,1.0,mejorada,1,2,7020274643477799479,0,0,0,10,0,0,2,1,1,en_curso
13,6,2.0,mejorada,1,2,7020274643477799479,0,0,1,8,1,0,1,2,1,en_curso
13,6,3.0,mejorada,1,2,7020274643477799479,0,0,3,8,3,4,2,3,1,en_curso
13,6,4.0,mejorada,1,2,7020274643477799479,0,0,3,6,3,5,2,4,1,en_curso
13,6,5.0,mejorada,1,2,7020274643477799479,0,0,3,4,3,6,2,5,1,en_curso
13,6,6.0,mejorada,1,2,7020274643477799479,0,0,3,3,3,7,2,6,1,en_curso
13,6,7.0,mejorada,1,2,7020274643477799479,0,0,3,3,3,7,2,7,1,en_curso
13,6,8.0,mejorada,1,2,7020274643477799479,2,1,3,9,3,8,2,8,1,en_curso
13,6,9.0,mejorada,1,2,7020274643477799479,2,1,8,11,8,8,2,9,1,en_curso
13,6,10.0,mejorada,1,2,7020274643477799479,2,1,11,10,10,8,1,10,1,en_curso
13,6,11.0,mejorada,1,2,7020274643477799479,2,4,14,9,11,8,2,11,1,perdido
14,7,1.0,aleatoria,1,2,7250163532461132703,0,0,0,10,0,0,2,1,1,en_curso
14,7,2.0,aleatoria,1,2,7250163532461132703,0,0,0,8,0,0,2,2,1,en_curso
14,7,3.0,aleatoria,1,2,7250163532461132703,0,0,8,12,5,0,2,3,1,en_curso
14,7,4.0,aleatoria,1,2,7250163532461132703,0,1,14,15,10,2,2,4,1,en_curso
14,7,5.0,aleatoria,1,2,7250163532461132703,0,1,24,24,16,4,2,5,1,perdido
15,7,1.0,mejorada,1,2,7250163532461132703,0,0,0,10,0,0,2,1,1,en_curso
15,7,2.0,mejorada,1,2,7250163532461132703,0,0,2,7,2,0,1,2,1,en_curso
15,7,3.0,mejorada,1,2,7250163532461132703,0,0,4,6,4,3,2,3,1,en_curso
15,7,4.0,mejorada,1,2,7250163532461132703,0,0,4,3,4,4,2,4,1,en_curso
15,7,5.0,mejorada,1,2,7250163532461132703,0,0,6,1,6,5,2,5,1,en_curso
15,7,6.0,mejorada,1,2,7250163532461132703,0,1,6,5,6,5,2,6,1,en_curso
15,7,7.0,mejorada,1,2,7250163532461132703,1,1,12,5,11,7,2,7,1,en_curso
15,7,8.0,mejorada,1,2,7250163532461132703,2,1,12,6,11,7,2,8,1,en_curso
15,7,9.0,mejorada,1,2,7250163532461132703,3,1,14,4,11,7,2,9,1,en_curso
15,7,10.0,mejorada,1,2,7250163532461132703,3,1,14,5,11,7,2,10,1,en_curso
15,7,11.0,mejorada,1,2,7250163532461132703,3,2,14,8,11,7,2,11,1,en_curso
15,7,12.0,mejorada,1,2,7250163532461132703,3,2,14,11,11,7,1,12,1,en_curso
15,7,13.0,mejorada,1,2,7250163532461132703,3,2,25,10,18,7,1,13,1,perdido
16,8,1.0,aleatoria,1,2,1181639697159514249,0,0,0,10,0,0,2,1,1,en_curso
16,8,2.0,aleatoria,1,2,1181639697159514249,0,0,6,14,4,0,2,2,1,en_curso
16,8,3.0,aleatoria,1,2,1181639697159514249,0,0,15,21,10,2,2,3,1,en_curso
16,8,4.0,aleatoria,1,2,1181639697159514249,0,1,25,30,17,2,2,4,1,perdido
17,8,1.0,mejorada,1,2,1181639697159514249,0,0,0,10,0,0,2,1,1,en_curso
17,8,2.0,mejorada,1,2,1181639697159514249,0,0,8,8,5,0,0,2,1,en_curso
17,8,3.0,mejorada,1,2,1181639697159514249,0,1,9,3,5,3,2,3,1,en_curso
17,8,4.0,mejorada,1,2,1181639697159514249,0,1,9,3,5,5,2,4,1,en_curso
17,8,5.0,mejorada,1,2,1181639697159514249,0,1,9,0,5,5,2,5,1,en_curso
17,8,6.0,mejorada,1,2,1181639697159514249,0,1,9,4,5,6,2,6,1,en_curso
17,8,7.0,mejorada,1,2,1181639697159514249,1,1,9,3,5,7,2,7,1,en_curso
17,8,8.0,mejorada,1,2,1181639697159514249,3,1,9,3,5,7,2,8,1,en_curso
17,8,9.0,mejorada,1,2,1181639697159514249,3,1,9,1,5,8,2,9,1,en_curso
17,8,10.0,mejorada,1,2,1181639697159514249,3,1,9,5,5,8,2,10,1,en_curso
17,8,11.0,mejorada,1,2,1181639697159514249,5,1,10,6,6,8,2,11,1,en_curso
17,8,12.0,mejorada,1,2,1181639697159514249,5,1,12,7,8,8,2,12,1,en_curso
17,8,13.0,mejorada,1,2,1181639697159514249,5,1,12,3,8,8,2,13,1,en_curso
17,8,14.0,mejorada,1,2,1181639697159514249,5,1,12,2,8,8,2,14,1,en_curso
17,8,15.0,mejorada,1,2,1181639697159514249,5,1,12,4,8,8,2,15,1,en_curso
17,8,16.0,mejorada,1,2,1181639697159514249,7,2,12,6,8,8,2,16,1,ganado
18,9,1.0,aleatoria,1,2,4154077065378586294,0,0,0,10,0,0,2,1,1,en_curso
18,9,2.0,aleatoria,1,2,4154077065378586294,0,0,3,7,2,0,2,2,1,en_curso
18,9,3.0,aleatoria,1,2,4154077065378586294,0,1,9,10,6,2,2,3,1,en_curso
18,9,4.0,aleatoria,1,2,4154077065378586294,0,1,12,13,9,3,2,4,1,en_curso
18,9,5.0,aleatoria,1,2,4154077065378586294,0,4,18,26,12,3,2,5,1,perdido
19,9,1.0,mejorada,1,2,4154077065378586294,0,0,0,10,0,0,2,1,1,en_curso
19,9,2.0,mejorada,1,2,4154077065378586294,0,0,0,6,0,0,2,2,1,en_curso
