rescatistas,rescatados,perdidas,danio,rondas,ganadas,corridas,porcentaje
2,4.1433333333333335,2.82,17.416666666666668,13.113333333333333,75,300,25.0
3,3.466666666666667,2.6433333333333335,20.25,10.546666666666667,43,300,14.333333333333334
4,2.5033333333333334,2.716666666666667,21.64666666666667,9.82,13,300,4.333333333333333
